pr_sq_ft,fsid,saleyear,x,y
255.532139093783,240472092802,2011,-75.1530937802602,38.2887413531081
156.25,240472092804,2013,-75.1518485692409,38.3822504811519
156.25,240472092804,2013,-75.1518485692409,38.3822504811519
169.463087248322,240472092805,2015,-75.1616031256998,38.3710688891157
102.813852813853,240472092808,2015,-75.1533110061977,38.3747337500006
111.111111111111,240472092813,2011,-75.1667567744721,38.4062551872612
191.489361702128,240472092814,2015,-75.1283914008425,38.3854218145417
239.963133640553,240472092817,2006,-75.187976633324,38.2394763135385
152.073732718894,240472092817,2016,-75.187976633324,38.2394763135385
239.963133640553,240472092817,2006,-75.187976633324,38.2394763135385
89.4736842105263,240472092823,2016,-75.1458259076709,38.3914317483788
50.1497005988024,240472092825,2014,-75.5577526100433,38.0665715446497
64.8203592814371,240472092825,2009,-75.5577526100433,38.0665715446497
47.7744510978044,240472092825,2005,-75.5577526100433,38.0665715446497
37.4251497005988,240472092825,2014,-75.5577526100433,38.0665715446497
37.4251497005988,240472092825,2014,-75.5577526100433,38.0665715446497
50.1497005988024,240472092825,2013,-75.5577526100433,38.0665715446497
23.7025948103792,240472092825,2009,-75.5577526100433,38.0665715446497
187.5,240472092826,2005,-75.2228975915871,38.3194806245159
187.5,240472092826,2005,-75.2228975915871,38.3194806245159
67.0459162941894,240472092827,2005,-75.1813607359733,38.344808954801
67.0459162941894,240472092827,2005,-75.1813607359733,38.344808954801
228.432563791009,240472092828,2016,-75.1324059930836,38.3814185464933
152.777777777778,240472092830,2017,-75.2480407533609,38.3354097034924
133.676092544987,240472092832,2008,-75.2288374286827,38.3284042883869
133.676092544987,240472092832,2008,-75.2288374286827,38.3284042883869
146.955060898782,240472092835,2011,-75.2087865834581,38.4502813799129
51.1609602518693,240472092840,2018,-75.1488060006554,38.3795527451942
80.6768988587171,240472092840,2012,-75.1488060006554,38.3795527451942
80.6768988587171,240472092840,2012,-75.1488060006554,38.3795527451942
112.040133779264,240472092843,2014,-75.3081034101436,38.3942326399981
102.713595274322,240472092847,2014,-75.2114810812354,38.3169277602694
113.929492691316,240472092848,2009,-75.1691761216825,38.3984141581235
129.054520358868,240472092849,2016,-75.1234390327591,38.3183330792899
146.652864044168,240472092849,2010,-75.1234390327591,38.3183330792899
140.681818181818,240472092851,2006,-75.2067766254216,38.3182077975764
97.7272727272727,240472092851,2009,-75.2067766254216,38.3182077975764
238.222464558342,240472092853,2005,-75.1148672621016,38.349191950535
149.836423118866,240472092853,2014,-75.1148672621016,38.349191950535
149.836423118866,240472092853,2014,-75.1148672621016,38.349191950535
149.836423118866,240472092853,2014,-75.1148672621016,38.349191950535
167.676767676768,240472092856,2007,-75.5475109107777,38.0785288068396
167.676767676768,240472092856,2007,-75.5475109107777,38.0785288068396
128.90625,240472092858,2013,-75.1551665417255,38.3913908019518
128.90625,240472092858,2013,-75.1551665417255,38.3913908019518
129.281396910678,240472092862,2006,-75.5355845701507,38.0702630327335
129.281396910678,240472092862,2006,-75.5355845701507,38.0702630327335
81.1298076923077,240472092865,2009,-75.3028180143738,38.3938253372547
58.8341346153846,240472092865,2010,-75.3028180143738,38.3938253372547
58.8341346153846,240472092865,2010,-75.3028180143738,38.3938253372547
77.7207977207977,240472092866,2015,-75.5533433686695,38.065043832493
31.2820512820513,240472092866,2010,-75.5533433686695,38.065043832493
31.2820512820513,240472092866,2010,-75.5533433686695,38.065043832493
77.7207977207977,240472092866,2015,-75.5533433686695,38.065043832493
134.259259259259,240472092868,2005,-75.4631805532484,38.0395068282589
23.5920852359209,240472092869,2014,-75.5519954987735,38.0671264425021
124.260355029586,240472092871,2016,-75.1649582802788,38.3889044610911
36.0750360750361,240472092872,2014,-75.1710918200496,38.3894645520226
176.695526695527,240472092872,2015,-75.1710918200496,38.3894645520226
105.034722222222,240472092874,2015,-75.1531827666801,38.36574332404
150.462962962963,240472092874,2008,-75.1531827666801,38.36574332404
150.462962962963,240472092874,2008,-75.1531827666801,38.36574332404
184.640522875817,240472092879,2007,-75.1422931161437,38.386694981115
184.640522875817,240472092879,2007,-75.1422931161437,38.386694981115
90.4977375565611,240472092888,2006,-75.3962253139123,38.170654430437
90.4977375565611,240472092888,2006,-75.3962253139123,38.170654430437
147.75828460039,240472092889,2005,-75.2089876406042,38.4032141155689
272.736517218973,240472092889,2006,-75.2089876406042,38.4032141155689
272.736517218973,240472092889,2006,-75.2089876406042,38.4032141155689
211.038961038961,240472092890,2005,-75.1647522966189,38.4031547967683
136.607142857143,240472092891,2016,-75.102975676955,38.3419233256809
428.70036101083,240472092894,2007,-75.1272754822181,38.3805220967212
428.70036101083,240472092894,2007,-75.1272754822181,38.3805220967212
99.0990990990991,240472092897,2008,-75.1430725737833,38.3387964615079
117.117117117117,240472092897,2018,-75.1430725737833,38.3387964615079
147.747747747748,240472092897,2006,-75.1430725737833,38.3387964615079
99.0990990990991,240472092897,2008,-75.1430725737833,38.3387964615079
70.1388888888889,240472092902,2015,-75.1983768780431,38.381825038223
67.7083333333333,240472092902,2016,-75.1983768780431,38.381825038223
138.140885984023,240472092904,2005,-75.2315032660002,38.3225078299977
138.140885984023,240472092904,2005,-75.2315032660002,38.3225078299977
163.690476190476,240472092905,2013,-75.1144619100676,38.3207203737289
163.690476190476,240472092905,2013,-75.1144619100676,38.3207203737289
195.238095238095,240472092905,2007,-75.1144619100676,38.3207203737289
146.683673469388,240472092910,2008,-75.1524807814434,38.3737345512595
175.382653061225,240472092910,2006,-75.1524807814434,38.3737345512595
146.683673469388,240472092910,2008,-75.1524807814434,38.3737345512595
187.598736176935,240472092914,2005,-75.1556698583994,38.3643751609173
187.598736176935,240472092914,2005,-75.1556698583994,38.3643751609173
91.6955017301038,240472092917,2009,-75.1293275396127,38.3682595894355
91.6955017301038,240472092917,2009,-75.1293275396127,38.3682595894355
151.384083044983,240472092917,2008,-75.1293275396127,38.3682595894355
30.3776683087028,240472092923,2013,-75.5693286671285,38.0761748369029
30.3776683087028,240472092923,2013,-75.5693286671285,38.0761748369029
193.850267379679,240472092933,2013,-75.1366969105049,38.2922301702201
193.850267379679,240472092933,2013,-75.1366969105049,38.2922301702201
320.855614973262,240472092934,2007,-75.136556225431,38.2903055879741
320.855614973262,240472092934,2007,-75.136556225431,38.2903055879741
148.707389613361,240472092935,2007,-75.1524505732791,38.3520302414919
